Designator,Mid X,Mid Y,Rotation,Layer
C1,-190.119456,-181.079751,90.0,top
C10,-188.069456,-204.804751,-90.0,top
C11,-185.519456,-181.179751,90.0,top
C12,-183.769456,-181.179751,90.0,top
C2,-186.319456,-204.804751,-90.0,top
C3,-201.444456,-188.329751,180.0,top
C4,-178.869456,-187.679751,0.0,top
C43,-194.119456,-208.154751,90.0,top
C44,-181.999456,-151.889751,180.0,top
C45,-182.099456,-161.639751,0.0,top
C46,-188.069456,-208.154751,-90.0,top
C5,-200.519456,-171.929751,90.0,top
C6,-178.869456,-189.479751,0.0,top
C7,-188.469456,-181.079751,90.0,top
C8,-201.494456,-194.429751,180.0,top
C9,-178.969456,-194.929751,0.0,top
D1,101.068044,-128.562251,90.0,top
D10,-79.906956,-128.562251,90.0,top
D100,84.205544,-136.824751,-90.0,top
D101,10.755544,-136.074751,0.0,top
D102,-34.744456,-135.974751,0.0,top
D103,-77.694456,-136.274751,0.0,top
D104,-120.844456,-136.474751,0.0,top
D105,-167.744456,-135.724751,0.0,top
D106,-220.344456,-135.874751,0.0,top
D107,-215.294456,-154.824751,90.0,top
D108,-219.494456,-182.724751,90.0,top
D109,51.105544,-136.324751,0.0,top
D11,-103.719456,-128.562251,90.0,top
D110,-9.744456,-221.024751,180.0,top
D12,-122.769456,-128.562251,90.0,top
D13,-141.819456,-128.562251,90.0,top
D14,-165.631956,-128.562251,90.0,top
D15,-189.444456,-128.562251,90.0,top
D16,-202.144456,-128.562251,90.0,top
D17,-227.544456,-128.562251,90.0,top
D18,101.068044,-152.374751,90.0,top
D19,82.018044,-152.374751,90.0,top
D2,77.255544,-128.562251,90.0,top
D20,62.968044,-152.374751,90.0,top
D21,43.918044,-152.374751,90.0,top
D22,24.868044,-152.374751,90.0,top
D23,5.818044,-152.374751,90.0,top
D24,-13.231956,-152.374751,90.0,top
D25,-32.281956,-152.374751,90.0,top
D26,-51.331956,-152.374751,90.0,top
D27,-70.381956,-152.437251,90.0,top
D28,-89.431956,-152.374751,90.0,top
D29,-108.481956,-152.374751,90.0,top
D3,66.936794,-128.562251,90.0,top
D30,-127.531956,-152.374751,90.0,top
D31,-140.231956,-152.374751,90.0,top
D32,-156.900706,-152.374751,90.0,top
D33,-189.444456,-152.374751,90.0,top
D34,-206.094456,-152.324751,90.0,top
D35,-227.544456,-152.374751,90.0,top
D36,96.305544,-171.424751,90.0,top
D37,72.493044,-171.424751,90.0,top
D38,53.443044,-171.424751,90.0,top
D39,34.393044,-171.424751,90.0,top
D4,47.886794,-128.562251,90.0,top
D40,15.343044,-171.424751,90.0,top
D41,-3.706956,-171.424751,90.0,top
D42,-22.756956,-171.424751,90.0,top
D43,-41.806956,-171.424751,90.0,top
D44,-60.856956,-171.424751,90.0,top
D45,-79.906956,-171.424751,90.0,top
D46,-98.956956,-171.424751,90.0,top
D47,-118.006956,-171.424751,90.0,top
D48,-137.056956,-171.424751,90.0,top
D49,-153.725706,-171.424751,90.0,top
D5,24.868044,-128.562251,90.0,top
D50,-191.669456,-172.529751,90.0,top
D51,-208.494456,-171.424751,90.0,top
D52,-227.544456,-171.424751,90.0,top
D53,101.861794,-192.856001,90.0,top
D54,67.730544,-190.474751,90.0,top
D55,48.680544,-190.474751,90.0,top
D56,29.630544,-190.474751,90.0,top
D57,10.580544,-190.474751,90.0,top
D58,-8.469456,-190.474751,90.0,top
D59,-27.519456,-190.474751,90.0,top
D6,5.818044,-128.562251,90.0,top
D60,-46.569456,-190.474751,90.0,top
D61,-65.619456,-190.474751,90.0,top
D62,-84.669456,-190.474751,90.0,top
D63,-103.719456,-190.474751,90.0,top
D64,-122.769456,-190.474751,90.0,top
D65,-152.269456,-190.929751,90.0,top
D66,-208.494456,-209.524751,90.0,top
D67,103.449294,-203.968501,90.0,top
D68,81.224294,-210.318501,180.0,top
D69,58.205544,-209.524751,90.0,top
D7,-22.756956,-128.562251,90.0,top
D70,39.155544,-209.524751,90.0,top
D71,20.105544,-209.524751,90.0,top
D72,1.055544,-209.524751,90.0,top
D73,-17.994456,-209.524751,90.0,top
D74,-37.044456,-209.524751,90.0,top
D75,-56.094456,-209.524751,90.0,top
D76,-75.144456,-209.524751,90.0,top
D77,-94.194456,-209.524751,90.0,top
D78,-113.244456,-209.524751,90.0,top
D79,-133.881956,-203.968501,90.0,top
D8,-41.806956,-128.562251,90.0,top
D80,-160.075706,-203.968501,90.0,top
D81,-189.444456,-228.574751,90.0,top
D82,-208.494456,-228.574751,90.0,top
D83,-227.544456,-228.574751,90.0,top
D84,103.449294,-223.081001,90.0,top
D85,80.430544,-223.018501,90.0,top
D86,56.618044,-223.018501,90.0,top
D87,-15.544456,-222.874751,90.0,top
D88,-87.050706,-228.574751,90.0,top
D89,-107.688206,-223.018501,90.0,top
D9,-60.856956,-128.562251,90.0,top
D90,-131.500706,-223.018501,90.0,top
D91,-155.313206,-223.018501,90.0,top
D92,-218.944456,-211.374751,90.0,top
D93,-176.744456,-220.637251,180.0,top
D94,-128.694456,-216.668501,180.0,top
D95,-65.744456,-221.124751,180.0,top
D96,37.455544,-215.674751,180.0,top
D97,83.105544,-216.574751,180.0,top
D98,78.505544,-185.724751,-90.0,top
D99,83.405544,-164.024751,-90.0,top
J3,-179.163206,-129.436001,180.0,top
LED1,93.130544,-190.792251,0.0,top
LED2,-211.669456,-128.879751,0.0,top
MX10_2,-87.845457,-123.799751,180.0,bottom
MX11_2,-111.656956,-123.799751,180.0,bottom
MX12_2,-130.706956,-123.799751,180.0,bottom
MX13_2,-149.756956,-123.799751,180.0,bottom
MX2_2,59.793044,-123.799751,180.0,bottom
MX3_2,40.743044,-123.799751,180.0,bottom
MX5_2,16.930544,-123.799252,180.0,bottom
MX6_2,-6.882456,-123.799751,180.0,bottom
R1,-185.169456,-120.179751,90.0,top
R2,-176.719456,-119.829751,180.0,top
R4,-198.769456,-171.929751,90.0,top
R5,-187.769456,-177.579751,-90.0,top
R6,-186.169456,-177.579751,-90.0,top
R7,-189.969456,-204.754751,-90.0,top
RESET1,-180.019456,-209.329751,180.0,top
U1,-181.469456,-141.429751,90.0,top
U2,-198.419456,-178.429751,0.0,top
U3,-190.275706,-192.268679,0.0,top
U4,-182.069456,-156.729751,0.0,top
USB_BOOT1,-207.969456,-178.629751,90.0,top
Y1,-191.069456,-208.148501,0.0,top
